what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms",1293221891187
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1293221891187
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1293221891187
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1293221891187
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1293221891187
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1293221891187
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100730-0100-e3x,"org.eclipse.mylyn.context.ui",1293221891187
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1293221891187
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.1.v20100730-0100-e3x,"org.eclipse.mylyn.tasks.ui",1293221891203
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1293221891203
os,sysinfo,,,"win32",1293221891203
arch,sysinfo,,,"x86",1293221891203
ws,sysinfo,,,"win32",1293221891203
locale,sysinfo,,,"en_US",1293221891203
processors,sysinfo,,,"2",1293221891203
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1293221891203
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1293221891203
java.specification.name,sysinfo,,,"Java Platform API Specification",1293221891203
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293221891203
java.specification.version,sysinfo,,,"1.6",1293221891203
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1293221891203
java.version,sysinfo,,,"1.6.0_21",1293221891203
java.vm.info,sysinfo,,,"mixed mode",1293221891203
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1293221891203
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1293221891203
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293221891203
java.vm.specification.version,sysinfo,,,"1.0",1293221891203
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1293221891203
java.vm.version,sysinfo,,,"17.0-b17",1293221891203
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1293221892328
